Marca,Linea,Modelo,RUNT_Parque_Automotor_Estimado,Mercado_Dias_Rotacion_Promedio,Demanda_Mercado_RUNT,Fasecolda_Codigo_Referencia
Chevrolet,Onix,2018,248654,32,Liquidez Media,FAS-10000
Chevrolet,Onix,2019,240795,30,Alta Liquidez,FAS-10001
Chevrolet,Onix,2020,225860,34,Liquidez Media,FAS-10002
Chevrolet,Onix,2021,230390,34,Liquidez Media,FAS-10003
Chevrolet,Onix,2022,254802,34,Liquidez Media,FAS-10004
Chevrolet,Onix,2023,246575,30,Alta Liquidez,FAS-10005
Chevrolet,Onix,2024,236964,32,Liquidez Media,FAS-10006
Chevrolet,Tracker,2018,236284,40,Baja Liquidez,FAS-10007
Chevrolet,Tracker,2019,247118,39,Baja Liquidez,FAS-10008
Chevrolet,Tracker,2020,231265,41,Baja Liquidez,FAS-10009
Chevrolet,Tracker,2021,241850,36,Liquidez Media,FAS-10010
Chevrolet,Tracker,2022,254910,36,Liquidez Media,FAS-10011
Chevrolet,Tracker,2023,229426,38,Liquidez Media,FAS-10012
Chevrolet,Tracker,2024,246962,36,Liquidez Media,FAS-10013
Hyundai,Tucson,2018,89423,40,Baja Liquidez,FAS-10014
Hyundai,Tucson,2019,103020,44,Baja Liquidez,FAS-10015
Hyundai,Tucson,2020,86363,42,Baja Liquidez,FAS-10016
Hyundai,Tucson,2021,102495,44,Baja Liquidez,FAS-10017
Hyundai,Tucson,2022,91023,45,Baja Liquidez,FAS-10018
Hyundai,Tucson,2023,83322,45,Baja Liquidez,FAS-10019
Hyundai,Tucson,2024,76685,44,Baja Liquidez,FAS-10020
Kia,Picanto,2018,135769,28,Alta Liquidez,FAS-10021
Kia,Picanto,2019,161967,25,Alta Liquidez,FAS-10022
Kia,Picanto,2020,158333,22,Alta Liquidez,FAS-10023
Kia,Picanto,2021,137433,27,Alta Liquidez,FAS-10024
Kia,Picanto,2022,140311,26,Alta Liquidez,FAS-10025
Kia,Picanto,2023,140051,26,Alta Liquidez,FAS-10026
