"NOMBRE_DEPARTAMENTO","NOMBRE_SERVICIO","ESTADO_DEL_VEHICULO","NOMBRE_DE_LA_CLASE","FECHA DE REGISTRO","CANTIDAD"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1"
"BOGOTA D.C.","OFICIAL","ACTIVO","AUTOMOVIL","1900","1"
"BOGOTA D.C.","OFICIAL","ACTIVO","BUSETA","1901","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1927","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1928","6"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1928","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1928","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1929","3"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1929","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1930","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1931","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1931","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1932","2"
"BOGOTA D.C.","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1934","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1934","31"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1934","2"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1934","4"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1935","8"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1935","2"
"BOGOTA D.C.","OFICIAL","ACTIVO","AUTOMOVIL","1936","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1936","27"
"BOGOTA D.C.","PARTICULAR","ACTIVO","BUSETA","1936","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1936","3"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMION","1936","1"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMIONETA","1936","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1936","5"
"BOGOTA D.C.","OFICIAL","ACTIVO","AUTOMOVIL","1937","2"
"BOGOTA D.C.","PÚBLICO","ACTIVO","AUTOMOVIL","1937","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1937","48"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMION","1937","3"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1937","4"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1937","12"
"BOGOTA D.C.","PARTICULAR","INCONSISTENTE","CAMIONETA","1937","1"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMIONETA","1937","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1938","53"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMION","1938","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1938","1"
"BOGOTA D.C.","OFICIAL","ACTIVO","CAMIONETA","1938","1"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMIONETA","1938","2"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1938","11"
"BOGOTA D.C.","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1939","2"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1939","184"
"BOGOTA D.C.","OFICIAL","ACTIVO","AUTOMOVIL","1939","2"
"BOGOTA D.C.","PÚBLICO","ACTIVO","AUTOMOVIL","1939","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1939","23"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMION","1939","7"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMIONETA","1939","7"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1939","37"
"BOGOTA D.C.","PARTICULAR","INCONSISTENTE","CAMIONETA","1939","1"
"BOGOTA D.C.","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1940","1"
"BOGOTA D.C.","PÚBLICO","ACTIVO","AUTOMOVIL","1940","2"
"BOGOTA D.C.","PARTICULAR","ACTIVO","AUTOMOVIL","1940","180"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMION","1940","1"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMION","1940","9"
"BOGOTA D.C.","PÚBLICO","ACTIVO","CAMIONETA","1940","6"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMIONETA","1940","35"
"BOGOTA D.C.","PARTICULAR","ACTIVO","CAMPERO","1940","1"
"BOGOTA D.C.","PÚBLICO","ACTIVO","AUTOMOVIL","1941","5"
