ID_Vehiculo,Marca,Linea,Modelo,Kilometraje,Estado_Vehiculo,Costo_Adquisicion_COP,Valor_Fasecolda_COP,Dias_en_Inventario,Canal_Asignado,Precio_Reserva_COP,Precio_Final_Venta_COP,Estado_Subasta,ID_Comprador,Tipo_Comprador
SIM-1001,Toyota,Hilux,2022,79036,Excelente,147800000.0,175000000.0,30,Subasta Virtual,155700000.0,176900000.0,Vendido,CLI-153,Financiera Partner
SIM-1002,Hyundai,Tucson,2024,40054,Excelente,93000000.0,105800000.0,45,Subasta Virtual,99700000.0,98800000.0,Vendido,CLI-116,Dealer / Reventa
SIM-1003,Renault,Duster,2020,139075,Bueno,58100000.0,73100000.0,45,Subasta Virtual,64700000.0,69400000.0,Vendido,CLI-126,Dealer / Reventa
SIM-1004,Renault,Kwid,2019,159820,Bueno,33000000.0,40400000.0,15,Subasta Virtual,36200000.0,37300000.0,Vendido,CLI-104,Dealer / Reventa
SIM-1005,Chevrolet,Tracker,2022,79090,Excelente,75300000.0,87200000.0,120,Subasta Virtual,77100000.0,82800000.0,Vendido,CLI-118,Empresa Flotilla
SIM-1006,Toyota,Corolla,2020,82992,Excelente,67900000.0,84100000.0,60,Concesionario Aliado,74500000.0,73100000.0,Vendido,CLI-111,Dealer / Reventa
SIM-1007,Toyota,Corolla,2022,66640,Regular,75200000.0,102800000.0,15,Venta Directa Flotas,79200000.0,83500000.0,Vendido,CLI-124,Empresa Flotilla
SIM-1008,Hyundai,Tucson,2021,67773,Regular,80800000.0,101600000.0,60,Venta Directa Flotas,88600000.0,97900000.0,Vendido,CLI-115,Dealer / Reventa
SIM-1009,Hyundai,Tucson,2019,112606,Regular,63000000.0,76600000.0,45,Subasta Virtual,66800000.0,0.0,No Adjudicado,N/A,N/A
SIM-1010,Toyota,Hilux,2020,135033,Regular,130300000.0,150000000.0,45,Concesionario Aliado,135300000.0,0.0,No Adjudicado,N/A,N/A
SIM-1011,Kia,Sportage,2019,108764,Excelente,74200000.0,85800000.0,45,Subasta Virtual,77900000.0,86300000.0,Vendido,CLI-137,Empresa Flotilla
SIM-1012,Kia,Sportage,2020,112465,Bueno,77900000.0,101000000.0,60,Concesionario Aliado,87000000.0,95600000.0,Vendido,CLI-149,Dealer / Reventa
SIM-1013,Toyota,Corolla,2018,101353,Regular,61600000.0,77000000.0,30,Subasta Virtual,63700000.0,77500000.0,Vendido,CLI-132,Empresa Flotilla
SIM-1014,Toyota,Hilux,2022,67124,Bueno,147600000.0,176500000.0,45,Subasta Virtual,151900000.0,0.0,No Adjudicado,N/A,N/A
SIM-1015,Mazda,Mazda 3,2022,59452,Regular,69400000.0,89900000.0,60,Subasta Virtual,71500000.0,0.0,No Adjudicado,N/A,N/A
SIM-1016,Toyota,Hilux,2024,26950,Regular,153200000.0,197800000.0,120,Subasta Virtual,166400000.0,0.0,No Adjudicado,N/A,N/A
SIM-1017,Hyundai,Tucson,2020,115546,Excelente,84300000.0,96400000.0,90,Subasta Virtual,91900000.0,0.0,Retirado,N/A,N/A
SIM-1018,Mazda,Mazda 3,2022,56404,Bueno,63700000.0,86900000.0,90,Subasta Virtual,65600000.0,64400000.0,Vendido,CLI-146,Empresa Flotilla
SIM-1019,Mazda,Mazda 3,2020,73409,Excelente,60500000.0,80900000.0,30,Subasta Virtual,66200000.0,0.0,No Adjudicado,N/A,N/A
SIM-1020,Hyundai,Tucson,2021,98341,Bueno,74300000.0,97800000.0,150,Concesionario Aliado,79000000.0,89700000.0,Vendido,CLI-147,Empresa Flotilla
SIM-1021,Mazda,CX-5,2019,153938,Siniestro Parcial,79400000.0,97800000.0,15,Subasta Virtual,83200000.0,0.0,No Adjudicado,N/A,N/A
SIM-1022,Mazda,CX-5,2024,49054,Excelente,112400000.0,128500000.0,90,Subasta Virtual,124200000.0,126800000.0,Vendido,CLI-125,Dealer / Reventa
SIM-1023,Mazda,Mazda 3,2022,79980,Excelente,63300000.0,86000000.0,180,Subasta Virtual,70100000.0,0.0,No Adjudicado,N/A,N/A
SIM-1024,Nissan,Versa,2022,69828,Bueno,50400000.0,65700000.0,30,Subasta Virtual,51400000.0,52800000.0,Vendido,CLI-108,Persona Natural
SIM-1025,Hyundai,Tucson,2023,53100,Bueno,81600000.0,100400000.0,45,Subasta Virtual,91200000.0,0.0,Retirado,N/A,N/A
SIM-1026,Chevrolet,Onix,2018,109214,Regular,39100000.0,50300000.0,45,Subasta Virtual,42300000.0,42000000.0,Vendido,CLI-152,Dealer / Reventa
SIM-1027,Renault,Duster,2021,93559,Regular,65500000.0,74800000.0,30,Subasta Virtual,69700000.0,68700000.0,Vendido,CLI-153,Dealer / Reventa
SIM-1028,Kia,Picanto,2022,71002,Excelente,37300000.0,43000000.0,15,Subasta Virtual,41500000.0,45800000.0,Vendido,CLI-105,Empresa Flotilla
SIM-1029,Toyota,Hilux,2018,108497,Excelente,100100000.0,134300000.0,30,Subasta Virtual,105200000.0,0.0,No Adjudicado,N/A,N/A
SIM-1030,Kia,Sportage,2022,72163,Excelente,87200000.0,112400000.0,45,Concesionario Aliado,96700000.0,95100000.0,Vendido,CLI-119,Empresa Flotilla
